Year|Reviewer Name|Paper ID|Research Object|Explanation for Research Object|Evaluation Method|Explanation for Evaluation Method|Guideline of Evaluation type|Property|Property Instance|Explanation for Property Instance|Metric|Explanation for Metric|Research Question / Evaluation question|Tool Prototype|Input Data|Artifact Evaluation Package available for replication?|Threats To Validity (Raw)|Threat to Validity Guidelines|Manual Comments|paperType|Threats To Validity|Industry Paper
2016|Timur Sağlam, Marco Ehl|Cavalcante2016|Architecture Description Language|"They introduce a \""a novel notation to formally express architectural properties\""|Case Study|stated by the authors|none referenced|property-as-such|Performance|They state they  evaluate the efficiency of the approach with the developed toolchain, however the measure Performance metrics|Execution time, memory usage |"Stated by the authors: \""Time and RAM consumption measures were obtained by using the time utility from Linux.\""|""How efficient is our approach and toolchain to verify properties in dynamic software architectures "|available|none|no|none|none referenced||full|none|no
2020|Sebastian Hahner,Matthias Lohr|Chondamrongkul2020|Architecture Description Language|"\""formal modelling of software architecture design\""|Benchmark|Experiment setup described as benchmark|none referenced|property-as-such|Accuracy|Stated by the authors|Precision|Stated by the authors|-|available|available|yes|none|none referenced||full|none|no
2020|Sebastian Hahner,Matthias Lohr|Chondamrongkul2020|Architecture Description Language|"\""formal modelling of software architecture design\""|Benchmark|Experiment setup described as benchmark|none referenced|property-as-such|Accuracy|Stated by the authors|Recall|Stated by the authors|-|available|available|yes|none|none referenced||full|none|no
2020|Sebastian Hahner,Matthias Lohr|Chondamrongkul2020|Architecture Description Language|"\""formal modelling of software architecture design\""|Benchmark|Experiment setup described as benchmark|none referenced|property-as-such|Performance|Stated by the authors|Runtime|Stated by the authors|-|available|available|yes|none|none referenced||full|none|no
2018|Robert Heinrich, Dominik Fuchß |Christensen2018|Teaching|In this paper, we present the architectural design challenges in assessing student solutions embodying microservice systems as well as our analysis and solutions to them. We present our implementation, Crunch,|Case Study|mentioned in the text|none referenced|property-as-such|Usefulness|mentioned|questionnaire response reg. usefulness|mentioned|Question 2 (Q2): “The automated marking by Crunch is better than manual/human review for assignments focusing on functionality” Question 3 (Q3): “The automated feedback from Crunch was detailed enough to help me find the cause of failing the test”|used|used|no|none|none referenced||full|none|no
2018|Robert Heinrich, Dominik Fuchß |Christensen2018|Teaching|In this paper, we present the architectural design challenges in assessing student solutions embodying microservice systems as well as our analysis and solutions to them. We present our implementation, Crunch,|Questionnaire|mentioned in the text|none referenced|property-as-such|Usefulness|mentioned|questionnaire response reg. usefulness|mentioned|Question 2 (Q2): “The automated marking by Crunch is better than manual/human review for assignments focusing on functionality” Question 3 (Q3): “The automated feedback from Crunch was detailed enough to help me find the cause of failing the test”|used|used|no|none|none referenced||full|none|no
2020|Sebastian Hahner,Sophie Schulz|Cruz2020|Architecture Analysis Method|experience report and architecture review methods|Case Study|-|none referenced|property-as-such|Feasibility|-|online vs. offline, continous vs. not continous, ...|-|-|available|used|no|subject bias, samples not representative|none referenced|'The paper itself is an evaluation, but there is no evaluation of the paper''s content'|full|Subject Bias, Selection Bias|no
2020|Jan-Philipp Töberg, Jan Keim|Dias2020|Architecture Description Language|Enhancing SysML-based ADLs with support for formal verification|Benchmark|Stated by the authors|none referenced|property-in-relation|Performance|authors state only the metric|overall Runtime|Stated by the authors||used|used|no|no explicit section|none referenced|no explicit research / evaluation question stated|full|none|no
2020|Jan-Philipp Töberg, Jan Keim|Dias2020|Architecture Description Language|Enhancing SysML-based ADLs with support for formal verification|Motivating Example|Stated by the authors|none referenced|property-as-such|Usability|authors describe how their approach visualizes the rules and interactions in a user-friendly way||||used|used|no|no explicit section|none referenced|no explicit research / evaluation question stated|full|none|no
2020|Jan-Philipp Töberg, Jan Keim|Dias2020|Architecture Description Language|Enhancing SysML-based ADLs with support for formal verification|Motivating Example|Stated by the authors|none referenced|property-as-such|Feasibility|authors underline how their approach fulfills their functional requirements by checking the compliance|Compliance|Stated by the authors||used|used|no|no explicit section|none referenced|no explicit research / evaluation question stated|full|none|no
2017|Jan-Philipp Töberg, Thomas Kühn|Digkas2017|Architecture Evolution|Investigates evolution of Technical Debt over time|Mining Software Repositories|Stated by the authors (in keywords)|none referenced|property-in-relation|Technical Debt|stated by the authors|Technical Debt over Time|Result of the Mann-Kendall-Test performed on SQALE-Index for a weekly time series|How does the technical debt of the open-source systems in the Apache ecosystem evolve over time?|available|available|yes|construct validity, external validity, and reliability|none referenced||full|Construct Validity, External Validity, Reliability|no
2017|Jan-Philipp Töberg, Thomas Kühn|Digkas2017|Architecture Evolution|Investigates evolution of Technical Debt over time|Mining Software Repositories|Stated by the authors (in keywords)|none referenced|property-in-relation|Complexity|stated by the authors|Number of classes||How does the normalized technical debt of the open-source systems in the Apache ecosystem evolve over time?|available|available|yes|construct validity, external validity, and reliability|none referenced||full|Construct Validity, External Validity, Reliability|no
2017|Jan-Philipp Töberg, Thomas Kühn|Digkas2017|Architecture Evolution|Investigates evolution of Technical Debt over time|Benchmark|Stated by the authors (in keywords)|none referenced|property-in-relation|Technical Debt|stated by the authors|Technical Debt per type||What are the most frequent types of technical debt in the studied ecosystem?|available|available|yes|construct validity, external validity, and reliability|none referenced||full|Construct Validity, External Validity, Reliability|no
2017|Jan-Philipp Töberg, Thomas Kühn|Digkas2017|Architecture Evolution|Investigates evolution of Technical Debt over time|Benchmark|Stated by the authors (in keywords)|none referenced|property-in-relation|Cost savings|stated by the authors|Cost per type||What are the most costly to fix types of technical debt in the studied ecosystem?|available|available|yes|construct validity, external validity, and reliability|none referenced||full|Construct Validity, External Validity, Reliability|no
2017|Marco Ehl, Sebastian Hahner|Filho2017|Architecture Description Language||Interview|stated by the authors|none referenced|property-as-such|Usability||purely qualitative|discussion-based|How useful is the proposed approach to identify EHE causes in the source code?|available|available|Yes|Yes|none referenced||full|Construct Validity, External Validity, Reliability|no
2017|Marco Ehl, Sebastian Hahner|Filho2017|Architecture Description Language||Case Study|stated by the authors|none referenced|property-as-such|Effectiveness||purely qualitative|discussion-based|How effective is the proposed approach in the identification of existing EHE problems?|available|available|Yes|Yes|none referenced||full|Construct Validity, External Validity, Reliability|no
2016|Sophie Schulz, Matthias Lohr|Gerostathopoulos2016|Architecture Optimization Method|run-time changes to architecture-based self-adaption strategies according to environment stimuli|Experiment|stated by the authors|none referenced|property-in-relation|Performance|they showed that hoisting modification is a viable option|time|time to do a specific action in a gamelike scenario|none|available|used|no|not representative|none referenced|input is available if JDEECo counts (indirectly extractable by literature reference)|full|Generalizability|no
2020|Jan Keim, Timur Sağlam|Giaimo2020|Quality Evolution||Case Study||wieringa2014|property-as-such |Feasibility||Argumentation||What software architecture can support a Continuous Experimentation decision process on a complex cyber-physical systems such as an automotive system?|used|used|no|samples not representative|none referenced|I am not quite sure with the classification of this paper. I am also not sure about what metrics exactly are used/how to write them down|full|Selection Bias|no
2020|Jan Keim, Timur Sağlam|Giaimo2020|Quality Evolution||Case Study||wieringa2014|property-as-such |Effectiveness ||Argumentation||To what extent do previously identiﬁed design criteria for Continuous Experimentation in the context of automotive cyber-physical systems hold?|used|used|no|samples not representative|none referenced|I am not quite sure with the classification of this paper. I am also not sure about what metrics exactly are used/how to write them down|full|Selection Bias|no
2017|Mahmood Al-Doori, Dominik Fuchss, Marco Konersmann|Haselboeck2017|Architecture Decision Making|Modeling of the decision models for microservices|Literature Review|As stated by the authors|wieringa2014design|none|none|As stated by the authors|none|none|What are the main areas of design for a microservice-based system,and how can they be categorized?|none|used|no|Yes|Seaman2008, Gasson2004||full|Confirmability, Dependability, Internal Consistency, Transferability|yes
2017|Mahmood Al-Doori, Dominik Fuchss, Marco Konersmann|Haselboeck2017|Architecture Decision Making|Modeling of the decision models for microservices|Literature Review|As stated by the authors|wieringa2014design|none|none|As stated by the authors|none|none|Which are the important stakeholders of decision models for microservicearchitectures?|none|used|no|Yes|Seaman2008, Gasson2004||full|Confirmability, Dependability, Internal Consistency, Transferability|yes
2017|Mahmood Al-Doori, Dominik Fuchss, Marco Konersmann|Haselboeck2017|Architecture Decision Making|Modeling of the decision models for microservices|Literature Review|As stated by the authors|wieringa2014design|none|none|As stated by the authors|none|none|What are the intended use cases for decision models for microservicearchitectures?|none|used|no|Yes|Seaman2008, Gasson2004||full|Confirmability, Dependability, Internal Consistency, Transferability|yes
2017|Mahmood Al-Doori, Dominik Fuchss, Marco Konersmann|Haselboeck2017|Architecture Decision Making|Modeling of the decision models for microservices|Case Study|Technical Action Research Study as stated by the authors|wieringa2014design|none|none|As stated by the authors|none|none|What elements of a microservice decision model and their presentationare required to support stakeholders in their intended used cases?|none|used|no|Yes|Seaman2008, Gasson2004||full|Confirmability, Dependability, Internal Consistency, Transferability|yes
2018|Thomas Kühn, Sophie Schulz|Heijenk2018|Architecture Decision Making||Interview||runeson2009|property-as-such|Completeness||Number of decision types||What types of decisions are used prior to and in agile iterations?|none|none|no|construct validity, internal validity, external validity, and reliability|yin1994case||full|Construct Validity, Internal Validity, External Validity, Reliability|yes
2018|Thomas Kühn, Sophie Schulz|Heijenk2018|Architecture Decision Making||Literature Review||none referenced|property-in-relation|Completeness||Number of decision types per phase and per perspective ||What is the involvement of architects in these types of decisions?|none|none|no|construct validity, internal validity, external validity, and reliability|yin1994case||full|Construct Validity, Internal Validity, External Validity, Reliability|yes
2018|Thomas Kühn, Sophie Schulz|Heijenk2018|Architecture Decision Making||Interview||runeson2009|property-in-relation|Productivity||Division of decision types over perspectives||What is the perception of stakeholders about the way architects participate in decision-making prior to and in agile iterations?|none|none|no|construct validity, internal validity, external validity, and reliability|yin1994case||full|Construct Validity, Internal Validity, External Validity, Reliability|yes
2020|Matthias Lohr, Katharina Großer|Islam2020|Reference Architecture|stated by the authors|Motivating Example|stated by the authors (they call it Case Study and proof-of-concept, but it is not grounded on a real application)|none referenced|property-in-relation|Performance|stated by the authors|Response time|compared intergration via classic approach towards update of security information in ontology|how software architecture can play a role in improving the design practices of a SOAR platform?|available|available|yes|no explicit section|none referenced||full|none|no
2020|Matthias Lohr, Katharina Großer|Islam2020|Reference Architecture|stated by the authors|Motivating Example|stated by the authors (they call it Case Study and proof-of-concept, but it is not grounded on a real application)|none referenced|property-in-relation|Complexity|stated by the authors|Number of components|counted how many additional components where needed for the example in a classic approach|how software architecture can play a role in improving the design practices of a SOAR platform?|available|available|yes|no explicit section|none referenced||full|none|no
